AUTHORS,PAPER TITLE,JOURNAL NAME,DOI NUMBER,PAGE NO,VOL NO / ISSUE NO,MONTH & YEAR ,INDEXED IN SCI / SCOPUS 
"Visu, P., Rajesh, K.M., Navaneethakrishnan, S.R., Subramanian, P.",Air pollution prediction using attention module with CNN-OptBiLSTM,Global Nest Journal,10.30955/gnj.05823,5823,26(6),2024,SCI
"Thivya Lakshmi, R.T., Katiravan, J., Visu, P.",CoDet: A novel deep learning pipeline for cotton plant detection and disease identification,Automatika,10.1080/00051144.2024.2317093,662-674,65(2),2024,SCI
"Visu, P., Praba, T.S., Sivakumar, N., Srinivasan, R., Sethukarasi, T.","Retraction Note to: Bio-inspired dual cluster heads optimized routing algorithm for wireless sensor networks (Journal of Ambient Intelligence and Humanized Computing, (2021), 12, 3, (3753-3761), 10.1007/s12652-019-01657-9)",Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-022-04186-0,463,14,2023,SCOPUS
"Visu, P., Smitha, P.S., Velayutham, M., Ahmad, M.W.",Enhanced EEG classification using adaptive DWT and heuristic-ICA algorithm,Automatika,10.1080/00051144.2023.2220207,827-836,64(4),2023,SCI
"Prabu, S., Velan, B., Christalin Nelson, S., Jayasudha, F.V., Visu, P., Janarthanan, K.",Mobile technologies for contact tracing and prevention of COVID-19 positive cases: a cross- sectional study,International Journal of Pervasive Computing and Communications,10.1108/IJPCC-07-2020-0086,226-235,18(2),2022,SCI
"Visu, P., Praba, T.S., Sivakumar, N., Srinivasan, R., Sethukarasi, T.",Bio-inspired dual cluster heads optimized routing algorithm for wireless sensor networks,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-019-01657-9,3753-3761,12(3),2021,SCI
"Josephine, M.S., Lakshmanan, L., Nair, R.R., Visu, P., Ganesan, R., Jothikumar, R.",Monitoring and sensing COVID-19 symptoms as a precaution using electronic wearable devices,International Journal of Pervasive Computing and Communications,10.1108/IJPCC-06-2020-0067,341-350,16(4),2020,SCI
"Visu, P., Sivakumar, N., Kumaresan, P., Yokesh Babu, S., Ramesh, P.S.",Removing leaf petioles and auto locating apex-base points using straight line interpolation and bisection,Multimedia Tools and Applications,10.1007/s11042-018-6579-z,5355-5369,79(7),2020,SCI
"Arivudainambi, D., Varun Kumar, K.A., Vinoth Kumar, R., Visu, P.",Ransomware traffic classification using deep learning models: Ransomware traffic classification,International Journal of Web Portals,10.4018/IJWP.2020010101,001-011,12(1),2020,SCOPUS
"Arivudainambi, D., K.A., V.K., S., S.C., Visu, P.",Malware traffic classification using principal component analysis and artificial neural network for extreme surveillance,Computer Communications,10.1016/j.comcom.2019.08.003,50-57,147,2019,SCI
