TITLE,SPONSORING AGENCY,AMOUNT,YEAR OF SANCTION,DURATION,RESPONSIBILITY (PI / CO PI),STATUS ( Completed / Ongoing)
"Combined Swarm Intelligence Routing 
               Protocol for MANET",DST,"Rs. 33,15,250 ",2015,3 Years,PI,Completed
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Scheme Name,SPONSORING AGENCY,AMOUNT,DATE or DURATION,YEAR OF SANCTION,STATUS ( Completed / Ongoing),
Workshop Grand,IEEE Madras Section,Rs.8950,1 Day,2022,Completed,
Conference Grand,AICTE,"Rs. 1,35,000",2 Days,2020,Completed,
"Prerana - preparing
SC/ST Students for Higher education
",AICTE,"Rs.8,20,000",2 Years,2019,Completed,
Seminar Grand,IEEE Madras Section,Rs.12500,1 Day,2016,Completed,
